id,db_id,name,kind,frame_key,archive,frame_index,resolution
38,38,"Yogurt, Greek, NS as to type of milk, plain",usda,"Yogurt, Greek, NS as to type of milk, plain",1,9630,direct
39,39,"Yogurt, Greek, whole milk, plain",usda,"Yogurt, Greek, whole milk, plain",1,1984,direct
40,40,"Yogurt, Greek, low fat milk, plain",usda,"Yogurt, Greek, low fat milk, plain",1,1192,direct
41,41,"Yogurt, Greek, nonfat milk, plain",usda,"Yogurt, Greek, nonfat milk, plain",1,11360,direct
42,42,"Yogurt, NS as to type of milk, fruit",usda,"Yogurt, NS as to type of milk, fruit",1,7432,direct
43,43,"Yogurt, whole milk, fruit",usda,"Yogurt, whole milk, fruit",1,10990,direct
44,44,"Yogurt, low fat milk, fruit",usda,"Yogurt, low fat milk, fruit",1,3564,direct
45,45,"Yogurt, nonfat milk, fruit",usda,"Yogurt, nonfat milk, fruit",1,14063,direct
46,46,"Yogurt, Greek, NS as to type of milk, fruit",usda,"Yogurt, Greek, NS as to type of milk, fruit",1,14046,direct
47,47,"Yogurt, Greek, whole milk, fruit",usda,"Yogurt, Greek, whole milk, fruit",1,10908,direct
48,48,"Yogurt, Greek, low fat milk, fruit",usda,"Yogurt, Greek, low fat milk, fruit",1,11676,direct
49,49,"Yogurt, Greek, nonfat milk, fruit",usda,"Yogurt, Greek, nonfat milk, fruit",1,7912,direct
50,50,"Yogurt, NS as to type of milk, flavors other than fruit",usda,"Yogurt, NS as to type of milk, flavors other than fruit",1,12444,direct
51,51,"Yogurt, whole milk, flavors other than fruit",usda,"Yogurt, whole milk, flavors other than fruit",1,7426,direct
52,52,"Yogurt, low fat milk, flavors other than fruit",usda,"Yogurt, low fat milk, flavors other than fruit",1,9580,direct
53,53,"Yogurt, nonfat milk, flavors other than fruit",usda,"Yogurt, nonfat milk, flavors other than fruit",1,8825,direct
54,54,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",usda,"Yogurt, Greek, NS as to type of milk, flavors other than fruit",1,11136,direct
55,55,"Yogurt, Greek, whole milk, flavors other than fruit",usda,"Yogurt, Greek, whole milk, flavors other than fruit",1,1164,direct
56,56,"Yogurt, Greek, low fat milk, flavors other than fruit",usda,"Yogurt, Greek, low fat milk, flavors other than fruit",1,8103,direct
57,57,"Yogurt, Greek, nonfat milk, flavors other than fruit",usda,"Yogurt, Greek, nonfat milk, flavors other than fruit",1,12284,direct
58,58,"Yogurt, Greek, with oats",usda,"Yogurt, Greek, with oats",1,4387,direct
59,59,"Yogurt, liquid",usda,"Yogurt, liquid",1,1252,direct
60,60,Yogurt tube,usda,Yogurt tube,1,7230,direct
61,61,"Chipotle dip, yogurt based",usda,"Chipotle dip, yogurt based",1,1301,direct
62,62,"Onion dip, yogurt based",usda,"Onion dip, yogurt based",1,1244,direct
63,63,"Ranch dip, yogurt based",usda,"Ranch dip, yogurt based",1,5163,direct
64,64,"Spinach dip, yogurt based",usda,"Spinach dip, yogurt based",1,11945,direct
65,65,Tzatziki dip,usda,Tzatziki dip,1,7841,direct
66,66,"Vegetable dip, yogurt based",usda,"Vegetable dip, yogurt based",1,13580,direct
67,67,"Yogurt parfait, with fruit",usda,"Yogurt parfait, with fruit",1,10083,direct
68,68,"Frozen yogurt, NFS",usda,"Frozen yogurt, NFS",1,10329,direct
69,69,"Frozen yogurt, vanilla",usda,"Frozen yogurt, vanilla",1,4140,direct
70,70,"Frozen yogurt, chocolate",usda,"Frozen yogurt, chocolate",1,14315,direct
71,71,"Frozen yogurt, soft serve, vanilla",usda,"Frozen yogurt, soft serve, vanilla",1,5161,direct
72,72,"Frozen yogurt, soft serve, chocolate",usda,"Frozen yogurt, soft serve, chocolate",1,13212,direct
73,73,Frozen yogurt sandwich,usda,Frozen yogurt sandwich,1,1501,direct
74,74,"Frozen yogurt bar, vanilla",usda,"Frozen yogurt bar, vanilla",1,7906,direct
75,75,"Frozen yogurt bar, chocolate",usda,"Frozen yogurt bar, chocolate",1,5937,direct
76,76,"Frozen yogurt cone, chocolate",usda,"Frozen yogurt cone, chocolate",1,11974,direct
77,77,"Frozen yogurt cone, vanilla",usda,"Frozen yogurt cone, vanilla",1,9357,direct
78,78,"Frozen yogurt cone, vanilla, waffle cone",usda,"Frozen yogurt cone, vanilla, waffle cone",1,7422,direct
79,79,"Frozen yogurt cone, chocolate, waffle cone",usda,"Frozen yogurt cone, chocolate, waffle cone",1,2676,direct
80,80,"Baby Toddler food, NFS",usda,"Baby Toddler food, NFS",1,7453,direct
81,81,"Baby Toddler yogurt, plain",usda,"Baby Toddler yogurt, plain",1,6133,direct
82,82,"Baby Toddler yogurt, with fruit",usda,"Baby Toddler yogurt, with fruit",1,8608,direct
83,83,"Chocolate milk, NFS",usda,"Chocolate milk, NFS",1,8264,direct
84,84,"Chocolate milk, whole",usda,"Chocolate milk, whole",1,11970,direct
85,85,"Chocolate milk, reduced fat (2%)",usda,"Chocolate milk, reduced fat (2%)",1,8263,direct
86,86,"Chocolate milk, fat free (skim)",usda,"Chocolate milk, fat free (skim)",1,2612,direct
87,87,"Chocolate milk, low fat (1%)",usda,"Chocolate milk, low fat (1%)",1,10922,direct
88,88,"Chocolate milk, reduced sugar, NFS",usda,"Chocolate milk, reduced sugar, NFS",1,11881,direct
89,89,"Hot chocolate / cocoa, NFS",usda,"Hot chocolate _ cocoa, NFS",1,14410,direct
90,90,"Hot chocolate / cocoa, made with whole or reduced fat (2%) milk",usda,"Hot chocolate _ cocoa, made with whole or reduced fat (2%) milk",1,12073,direct
91,91,"Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk",usda,"Hot chocolate _ cocoa, made with lowfat (1%) or fat free (skim) milk",1,9988,direct
92,92,"Hot chocolate / cocoa, made with non-dairy milk",usda,"Hot chocolate _ cocoa, made with non-dairy milk",1,9983,direct
93,93,"Hot chocolate / cocoa, with whipped cream",usda,"Hot chocolate _ cocoa, with whipped cream",1,10929,direct
94,94,"Chocolate milk, reduced sugar, whole",usda,"Chocolate milk, reduced sugar, whole",1,10926,direct
95,95,"Chocolate milk, reduced sugar, reduced fat (2%)",usda,"Chocolate milk, reduced sugar, reduced fat (2%)",1,10453,direct
96,96,"Chocolate milk, reduced sugar, low fat (1%)",usda,"Chocolate milk, reduced sugar, low fat (1%)",1,5117,direct
97,97,"Chocolate milk, reduced sugar, fat free (skim)",usda,"Chocolate milk, reduced sugar, fat free (skim)",1,14356,direct
98,98,"Hot chocolate / cocoa, dry mix, made with water",usda,"Hot chocolate _ cocoa, dry mix, made with water",1,12678,direct
99,99,"Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk",usda,"Hot chocolate _ cocoa, dry mix, made with whole or reduced fat (2%) milk",1,5949,direct
100,100,"Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",usda,"Hot chocolate _ cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk",1,8225,direct
101,101,"Hot chocolate / cocoa, dry mix , made with non-dairy milk",usda,"Hot chocolate _ cocoa, dry mix , made with non-dairy milk",1,2609,direct
102,102,"Hot chocolate / cocoa, dry mix, made with water, with whipped cream",usda,"Hot chocolate _ cocoa, dry mix, made with water, with whipped cream",1,10921,direct
103,103,"Hot chocolate / cocoa, dry mix, reduced sugar, made with water",usda,"Hot chocolate _ cocoa, dry mix, reduced sugar, made with water",1,10214,direct
104,104,"Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",usda,"Hot chocolate _ cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk",1,13784,direct
105,105,"Hot chocolate / cocoa, reduced sugar, made with non-dairy milk",usda,"Hot chocolate _ cocoa, reduced sugar, made with non-dairy milk",1,12072,direct
106,106,"Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk",usda,"Hot chocolate _ cocoa, reduced sugar, made with whole or reduced fat (2%) milk",1,3849,direct
107,107,"Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",usda,"Hot chocolate _ cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk",1,12509,direct
108,108,"Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",usda,"Hot chocolate _ cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk",1,14125,direct
109,109,"Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk",usda,"Hot chocolate _ cocoa, dry mix, reduced sugar, made with non-dairy milk",1,4629,direct
110,110,"Strawberry milk, NFS",usda,"Strawberry milk, NFS",1,1232,direct
111,111,"Strawberry milk, whole",usda,"Strawberry milk, whole",1,3358,direct
112,112,"Strawberry milk, reduced fat (2%)",usda,"Strawberry milk, reduced fat (2%)",1,7236,direct
113,113,"Strawberry milk, low fat (1%)",usda,"Strawberry milk, low fat (1%)",1,7216,direct
114,114,"Strawberry milk, fat free  (skim)",usda,"Strawberry milk, fat free  (skim)",1,12964,direct
115,115,"Strawberry milk, reduced sugar",usda,"Strawberry milk, reduced sugar",1,1642,direct
116,116,"Milk, malted",usda,"Milk, malted",1,1038,direct
117,117,"Milk shake, home recipe, chocolate",usda,"Milk shake, home recipe, chocolate",1,8259,direct
118,118,"Milk shake, home recipe, flavors other than chocolate",usda,"Milk shake, home recipe, flavors other than chocolate",1,12971,direct
119,119,"Milk shake, home recipe, chocolate, light",usda,"Milk shake, home recipe, chocolate, light",1,1731,direct
120,120,"Milk shake, home recipe, flavors other than chocolate, light",usda,"Milk shake, home recipe, flavors other than chocolate, light",1,13241,direct
121,121,Milk shake with malt,usda,Milk shake with malt,1,8142,direct
122,122,"Milk shake, fast food, chocolate",usda,"Milk shake, fast food, chocolate",1,6706,direct
123,123,"Milk shake, fast food, flavors other than chocolate",usda,"Milk shake, fast food, flavors other than chocolate",1,14223,direct
124,124,"Milk shake, bottled, chocolate",usda,"Milk shake, bottled, chocolate",1,12520,direct
125,125,"Milk shake, bottled, flavors other than chocolate",usda,"Milk shake, bottled, flavors other than chocolate",1,8131,direct
126,126,Licuado or Batido,usda,Licuado or Batido,1,1144,direct
127,127,"Fruit smoothie, NFS",usda,"Fruit smoothie, NFS",1,7506,direct
128,128,"Fruit smoothie, with whole fruit and dairy",usda,"Fruit smoothie, with whole fruit and dairy",1,7418,direct
129,129,"Fruit smoothie, with whole fruit and dairy, added protein",usda,"Fruit smoothie, with whole fruit and dairy, added protein",1,7954,direct
130,130,"Fruit smoothie juice drink, with dairy",usda,"Fruit smoothie juice drink, with dairy",1,8128,direct
131,131,Chocolate milk drink,usda,Chocolate milk drink,1,12155,direct
132,132,"Infant formula, NFS",usda,"Infant formula, NFS",1,13471,direct
133,133,"Toddler formula, store brand, beginning or next stage",usda,"Toddler formula, store brand, beginning or next stage",1,1789,direct
134,134,"Toddler formula, store brand, pediatric shake",usda,"Toddler formula, store brand, pediatric shake",1,7568,direct
135,135,"Infant formula, premature, powder, made with water",usda,"Infant formula, premature, powder, made with water",1,4742,direct
136,136,"Infant formula, premature, ready-to-feed",usda,"Infant formula, premature, ready-to-feed",1,3547,direct
137,137,"Infant formula, organic, powder, made with water",usda,"Infant formula, organic, powder, made with water",1,11058,direct
138,138,"Infant formula, organic, ready-to-feed",usda,"Infant formula, organic, ready-to-feed",1,13028,direct
139,139,"Infant formula, store brand, advantage or tender, powder, made with tap water",usda,"Infant formula, store brand, advantage or tender, powder, made with tap water",1,13042,direct
140,140,"Infant formula, store brand, advantage or tender, powder, made with bottled water",usda,"Infant formula, store brand, advantage or tender, powder, made with bottled water",1,3485,direct
141,141,"Infant formula, store brand, advantage or tender, powder, made with baby water",usda,"Infant formula, store brand, advantage or tender, powder, made with baby water",1,7845,direct
142,142,"Infant formula, store brand, gentle or sensitivity",usda,"Infant formula, store brand, gentle or sensitivity",1,12296,direct
143,143,"Infant formula, store brand, added rice",usda,"Infant formula, store brand, added rice",1,8623,direct
144,144,"Infant formula, store brand, soy",usda,"Infant formula, store brand, soy",1,14142,direct
145,145,"Infant formula, amino acids",usda,"Infant formula, amino acids",1,10737,direct
146,146,"Infant formula, low iron",usda,"Infant formula, low iron",1,8139,direct
147,147,"Milk, dry, not reconstituted",usda,"Milk, dry, not reconstituted",1,3393,direct
,148,"Whey, sweet, dry",dravya,"Whey, sweet, dry",1,7855,direct
149,149,"Cocoa powder, not reconstituted",usda,"Cocoa powder, not reconstituted",1,2511,direct
150,150,"Chocolate beverage powder, dry mix, not reconstituted",usda,"Chocolate beverage powder, dry mix, not reconstituted",1,6068,direct
151,151,"Chocolate beverage powder, light, dry mix, not reconstituted",usda,"Chocolate beverage powder, light, dry mix, not reconstituted",1,11825,direct
152,152,"Milk, malted, dry mix, not reconstituted",usda,"Milk, malted, dry mix, not reconstituted",1,11334,direct
153,153,"Strawberry beverage powder, dry mix, not reconstituted",usda,"Strawberry beverage powder, dry mix, not reconstituted",1,7420,direct
154,154,"Cream, NS as to light, heavy, or half and half",usda,"Cream, NS as to light, heavy, or half and half",1,10345,direct
155,155,"Cream, light",usda,"Cream, light",1,13841,direct
156,156,"Cream, half and half",usda,"Cream, half and half",1,14054,direct
157,157,"Cream, half and half, flavored",usda,"Cream, half and half, flavored",1,13545,direct
,158,"Cream, heavy",dravya,"Cream, heavy",1,14023,direct
159,159,"Cream, whipped",usda,"Cream, whipped",1,11018,direct
160,160,"Coffee creamer, NFS",usda,"Coffee creamer, NFS",1,11654,direct
161,161,"Coffee creamer, liquid",usda,"Coffee creamer, liquid",1,8242,direct
162,162,"Coffee creamer, liquid, flavored",usda,"Coffee creamer, liquid, flavored",1,13892,direct
163,163,"Coffee creamer, liquid, fat free",usda,"Coffee creamer, liquid, fat free",1,1705,direct
164,164,"Coffee creamer, liquid, fat free, flavored",usda,"Coffee creamer, liquid, fat free, flavored",1,11030,direct
165,165,"Coffee creamer, liquid, fat free, sugar free, flavored",usda,"Coffee creamer, liquid, fat free, sugar free, flavored",1,5180,direct
166,166,"Coffee creamer, liquid, sugar free, flavored",usda,"Coffee creamer, liquid, sugar free, flavored",1,7423,direct
167,167,"Coffee creamer, powder",usda,"Coffee creamer, powder",1,1968,direct
168,168,"Coffee creamer, powder, flavored",usda,"Coffee creamer, powder, flavored",1,11162,direct
169,169,"Coffee creamer, powder, fat free",usda,"Coffee creamer, powder, fat free",1,7644,direct
170,170,"Coffee creamer,powder, sugar free, flavored",usda,"Coffee creamer,powder, sugar free, flavored",1,5159,direct
171,171,"Coffee creamer, soy, liquid",usda,"Coffee creamer, soy, liquid",1,1653,direct
172,172,Whipped topping,usda,Whipped topping,1,12430,direct
173,173,"Whipped topping, fat free",usda,"Whipped topping, fat free",1,11889,direct
174,174,"Whipped topping, sugar free",usda,"Whipped topping, sugar free",1,1138,direct
175,175,"Sour cream, regular",usda,"Sour cream, regular",1,1191,direct
176,176,"Sour cream, imitation",usda,"Sour cream, imitation",1,11004,direct
177,177,"Dip, NFS",usda,"Dip, NFS",1,9706,direct
178,178,"Chipotle dip, regular",usda,"Chipotle dip, regular",1,8586,direct
179,179,"Chipotle dip, light",usda,"Chipotle dip, light",1,7435,direct
180,180,"Onion dip, regular",usda,"Onion dip, regular",1,5630,direct
181,181,"Onion dip, light",usda,"Onion dip, light",1,5188,direct
182,182,"Ranch dip, regular",usda,"Ranch dip, regular",1,14342,direct
183,183,"Ranch dip, light",usda,"Ranch dip, light",1,10361,direct
184,184,"Spinach dip, regular",usda,"Spinach dip, regular",1,12003,direct
185,185,"Spinach dip, light",usda,"Spinach dip, light",1,1150,direct
186,186,"Vegetable dip, regular",usda,"Vegetable dip, regular",1,12448,direct
187,187,"Vegetable dip, light",usda,"Vegetable dip, light",1,11355,direct
188,188,"Ice cream, NFS",usda,"Ice cream, NFS",1,9551,direct
189,189,"Ice cream, vanilla",usda,"Ice cream, vanilla",1,1046,direct
190,190,"Ice cream, vanilla, with additional ingredients",usda,"Ice cream, vanilla, with additional ingredients",1,11677,direct
191,191,"Ice cream, chocolate",usda,"Ice cream, chocolate",1,13200,direct
192,192,"Ice cream, chocolate, with additional ingredients",usda,"Ice cream, chocolate, with additional ingredients",1,13117,direct
193,193,"Ice cream, soft serve, vanilla",usda,"Ice cream, soft serve, vanilla",1,7209,direct
194,194,"Gelato, vanilla",usda,"Gelato, vanilla",1,14146,direct
195,195,"Gelato, chocolate",usda,"Gelato, chocolate",1,10438,direct
196,196,"Ice cream bar, vanilla",usda,"Ice cream bar, vanilla",1,13225,direct
197,197,"Ice cream bar, vanilla, chocolate coated",usda,"Ice cream bar, vanilla, chocolate coated",1,6440,direct
198,198,Ice cream candy bar,usda,Ice cream candy bar,1,6982,direct
199,199,"Ice cream bar, chocolate",usda,"Ice cream bar, chocolate",1,9605,direct
200,200,"Ice cream sandwich, vanilla",usda,"Ice cream sandwich, vanilla",1,588,direct
201,201,"Ice cream sandwich, chocolate",usda,"Ice cream sandwich, chocolate",1,8544,direct
202,202,"Ice cream cone, scooped, vanilla",usda,"Ice cream cone, scooped, vanilla",1,13032,direct
203,203,"Ice cream cone, scooped, vanilla, waffle cone",usda,"Ice cream cone, scooped, vanilla, waffle cone",1,10907,direct
204,204,"Ice cream cone, NFS",usda,"Ice cream cone, NFS",1,6251,direct
205,205,"Ice cream cone, scooped, chocolate",usda,"Ice cream cone, scooped, chocolate",1,3559,direct
206,206,"Ice cream cone, scooped, chocolate, waffle cone",usda,"Ice cream cone, scooped, chocolate, waffle cone",1,11878,direct
207,207,"Ice cream cone, soft serve, vanilla",usda,"Ice cream cone, soft serve, vanilla",1,11084,direct
208,208,"Ice cream cone, soft serve, chocolate",usda,"Ice cream cone, soft serve, chocolate",1,9341,direct
209,209,"Ice cream cone, soft serve, vanilla, waffle cone",usda,"Ice cream cone, soft serve, vanilla, waffle cone",1,1718,direct
210,210,"Ice cream cone, soft serve, chocolate, waffle cone",usda,"Ice cream cone, soft serve, chocolate, waffle cone",1,11993,direct
211,211,"Ice cream cone, vanilla, prepackaged",usda,"Ice cream cone, vanilla, prepackaged",1,3581,direct
212,212,"Ice cream cone, chocolate, prepackaged",usda,"Ice cream cone, chocolate, prepackaged",1,10626,direct
213,213,"Ice cream soda, flavors other than chocolate",usda,"Ice cream soda, flavors other than chocolate",1,7985,direct
214,214,"Ice cream soda, chocolate",usda,"Ice cream soda, chocolate",1,10456,direct
215,215,"Ice cream sundae, NFS",usda,"Ice cream sundae, NFS",1,3566,direct
216,216,"Ice cream sundae, fruit topping",usda,"Ice cream sundae, fruit topping",1,1727,direct
217,217,Banana split,usda,Banana split,1,10903,direct
218,218,"Ice cream sundae, hot fudge topping",usda,"Ice cream sundae, hot fudge topping",1,11659,direct
219,219,"Ice cream sundae, caramel topping",usda,"Ice cream sundae, caramel topping",1,12967,direct
220,220,"Ice cream, fried",usda,"Ice cream, fried",1,2977,direct
221,221,"Light ice cream, NFS",usda,"Light ice cream, NFS",1,14042,direct
222,222,"Light ice cream, vanilla",usda,"Light ice cream, vanilla",1,11646,direct
223,223,"Light ice cream, chocolate",usda,"Light ice cream, chocolate",1,12998,direct
224,224,"Soft serve, blended with candy or cookies, from fast food",usda,"Soft serve, blended with candy or cookies, from fast food",1,9343,direct
225,225,"Light ice cream sandwich, vanilla",usda,"Light ice cream sandwich, vanilla",1,5402,direct
226,226,"Light ice cream sandwich, chocolate",usda,"Light ice cream sandwich, chocolate",1,8025,direct
227,227,"Light ice cream bar, vanilla",usda,"Light ice cream bar, vanilla",1,9640,direct
228,228,"Light ice cream bar, vanilla, chocolate coated",usda,"Light ice cream bar, vanilla, chocolate coated",1,848,direct
229,229,"Light ice cream bar, chocolate",usda,"Light ice cream bar, chocolate",1,3676,direct
230,230,"Light ice cream cone, vanilla, prepackaged",usda,"Light ice cream cone, vanilla, prepackaged",1,11555,direct
231,231,"Light ice cream cone, chocolate, prepackaged",usda,"Light ice cream cone, chocolate, prepackaged",1,3260,direct
232,232,"Sherbet, all flavors",usda,"Sherbet, all flavors",1,11657,direct
233,233,"Pudding, chocolate, NFS",usda,"Pudding, chocolate, NFS",1,13789,direct
234,234,"Pudding, bread",usda,"Pudding, bread",1,11346,direct
235,235,"Pudding, flavors other than chocolate, NFS",usda,"Pudding, flavors other than chocolate, NFS",1,13346,direct
236,236,Custard,usda,Custard,1,3631,direct
237,237,Flan,usda,Flan,1,1614,direct
238,238,Creme brulee,usda,Creme brulee,1,13111,direct
,239,"Pudding, rice",dravya,"Pudding, rice",1,4703,direct
240,240,"Firni, Indian pudding",usda,"Firni, Indian pudding",1,13039,direct
241,241,"Pudding, tapioca, made from dry mix",usda,"Pudding, tapioca, made from dry mix",1,10328,direct
242,242,"Pudding, flavors other than chocolate, made from dry mix",usda,"Pudding, flavors other than chocolate, made from dry mix",1,1987,direct
243,243,"Pudding, chocolate, made from dry mix",usda,"Pudding, chocolate, made from dry mix",1,9908,direct
244,244,"Pudding, flavors other than chocolate, made from dry mix, sugar free",usda,"Pudding, flavors other than chocolate, made from dry mix, sugar free",1,10340,direct
245,245,"Pudding, chocolate, made from dry mix, sugar free",usda,"Pudding, chocolate, made from dry mix, sugar free",1,12690,direct
246,246,"Pudding, flavors other than chocolate, ready-to-eat",usda,"Pudding, flavors other than chocolate, ready-to-eat",1,7614,direct
247,247,"Pudding, flavors other than chocolate, ready-to-eat, sugar free",usda,"Pudding, flavors other than chocolate, ready-to-eat, sugar free",1,4539,direct
248,248,"Pudding, chocolate, ready-to-eat",usda,"Pudding, chocolate, ready-to-eat",1,12033,direct
249,249,"Pudding, chocolate, ready-to-eat, sugar free",usda,"Pudding, chocolate, ready-to-eat, sugar free",1,12047,direct
250,250,"Pudding, tapioca, ready-to-eat",usda,"Pudding, tapioca, ready-to-eat",1,14013,direct
251,251,Banana pudding,usda,Banana pudding,1,12143,direct
252,252,Mousse,usda,Mousse,1,11683,direct
254,253,"Barfi or Burfi, Indian dessert",usda,"Barfi or Burfi, Indian dessert",1,940,direct
255,254,Trifle,usda,Trifle,1,6253,direct
256,255,Tiramisu,usda,Tiramisu,1,14280,direct
257,256,White sauce or gravy,usda,White sauce or gravy,1,13050,direct
258,257,"Cheese, NFS",usda,"Cheese, NFS",1,3874,direct
259,258,"Cheese, Blue or Roquefort",usda,"Cheese, Blue or Roquefort",1,4240,direct
,259,"Cheese, Cheddar",dravya,"Cheese, Cheddar",1,11701,direct
264,260,"Cheese, Cheddar, reduced fat",usda,"Cheese, Cheddar, reduced fat",1,9313,direct
267,261,"Cheese, Colby Jack",usda,"Cheese, Colby Jack",1,5254,direct
270,262,"Cheese, goat",usda,"Cheese, goat",1,14019,direct
271,263,"Cheese, Gouda or Edam",usda,"Cheese, Gouda or Edam",1,4561,direct
274,264,"Cheese, Monterey, reduced fat",usda,"Cheese, Monterey, reduced fat",1,2827,direct
275,265,"Cheese, Mozzarella, NFS",usda,"Cheese, Mozzarella, NFS",1,10010,direct
276,266,"Cheese, Mozzarella, part skim",usda,"Cheese, Mozzarella, part skim",1,3596,direct
277,267,"Cheese, Mozzarella, reduced sodium",usda,"Cheese, Mozzarella, reduced sodium",1,3594,direct
278,268,"Cheese, Mozzarella, nonfat or fat free",usda,"Cheese, Mozzarella, nonfat or fat free",1,13524,direct
280,269,"Cheese, Muenster, reduced fat",usda,"Cheese, Muenster, reduced fat",1,3303,direct
281,270,"Cheese, Parmesan, dry grated",usda,"Cheese, Parmesan, dry grated",1,3473,direct
284,271,"Cheese, Parmesan, dry grated, fat free",usda,"Cheese, Parmesan, dry grated, fat free",1,3467,direct
285,272,"Cheese, Port du Salut",usda,"Cheese, Port du Salut",1,2873,direct
288,273,"Cheese, Swiss, reduced sodium",usda,"Cheese, Swiss, reduced sodium",1,9284,direct
289,274,"Cheese, Swiss, reduced fat",usda,"Cheese, Swiss, reduced fat",1,3417,direct
290,275,"Cheese, Cheddar, reduced sodium",usda,"Cheese, Cheddar, reduced sodium",1,7637,direct
,276,"Cheese, paneer",dravya,"Cheese, paneer",1,10979,direct
292,277,"Cheese, Mexican blend, reduced fat",usda,"Cheese, Mexican blend, reduced fat",1,280,direct
293,278,"Queso Anejo, aged Mexican cheese",usda,"Queso Anejo, aged Mexican cheese",1,2335,direct
294,279,Queso Asadero,usda,Queso Asadero,1,4046,direct
295,280,Queso Fresco,usda,Queso Fresco,1,324,direct
296,281,Queso cotija,usda,Queso cotija,1,12741,direct
,282,"Cheese, cottage, NFS",dravya,"Cheese, cottage, NFS",1,3296,direct
298,283,"Cottage cheese, farmer's",usda,"Cottage cheese, farmer's",1,6129,direct
299,284,"Cheese, Ricotta",usda,"Cheese, Ricotta",1,10782,direct
